lat,lon
52.66383,-8.62671
52.66353,-8.62596
52.66347,-8.62577
52.6623,-8.62282
52.6617,-8.62205
52.66117,-8.62144
52.66099,-8.62114
52.66094,-8.62102
52.66093,-8.62101
52.66085,-8.62081
52.66052,-8.61976
52.66044,-8.61982
52.66039,-8.61985
52.66033,-8.6199
52.6603,-8.61993
52.66014,-8.62021
52.6601,-8.62025
52.66007,-8.62029
52.65999,-8.62035
52.65987,-8.62041
52.6594,-8.61982
52.65883,-8.61903
52.65858,-8.61876
52.65846,-8.61865
52.65841,-8.61862
52.65833,-8.61856
52.6581,-8.61846
52.65796,-8.61839
52.65779,-8.61834
52.6577,-8.61832
52.65697,-8.6181
52.65682,-8.61808
52.65667,-8.61808
52.65653,-8.61807
52.65642,-8.61807
52.65623,-8.61803
52.6554,-8.61766
52.65517,-8.61762
52.65501,-8.61762
52.65495,-8.61761
52.65481,-8.6176
52.65453,-8.61752
52.65444,-8.61747
52.65399,-8.61709
52.65371,-8.61683
52.65333,-8.61655
52.65318,-8.61645
52.65296,-8.61635
52.65198,-8.61577
52.65187,-8.61572
52.65175,-8.61569
52.65071,-8.61553
52.65014,-8.61542
52.65,-8.61537
52.64995,-8.61536
52.64989,-8.61534
52.64955,-8.61513
52.64949,-8.61503
52.64945,-8.61498
52.64934,-8.6148
52.64934,-8.61474
52.64931,-8.6146
52.6493,-8.61457
52.64929,-8.61456
52.64925,-8.61448
52.6492,-8.61443
52.64914,-8.61439
52.64911,-8.61439
52.64908,-8.61438
52.64905,-8.61438
52.64905,-8.61439
52.64902,-8.61439
52.64893,-8.61445
52.64891,-8.61448
52.64891,-8.61449
52.64889,-8.61452
52.64885,-8.6146
52.64882,-8.61474
52.64882,-8.61489
52.64884,-8.61499
52.64885,-8.61502
52.64885,-8.61539
52.64881,-8.61571
52.64875,-8.61602
52.64864,-8.61672
52.64861,-8.61754
52.6486,-8.61763
52.64862,-8.61783
52.64861,-8.61807
52.64858,-8.61814
52.64856,-8.61825
52.64853,-8.61887
52.64849,-8.6193
52.64849,-8.61939
52.64845,-8.6195
52.64842,-8.61954
52.64836,-8.6196
52.64712,-8.61936
52.64654,-8.61936
52.64648,-8.61937
52.64622,-8.61938
52.64561,-8.61948
52.6453,-8.61959
52.64496,-8.61969
52.64438,-8.61984
52.64423,-8.61983
52.64423,-8.61982
52.64422,-8.61982
52.64422,-8.61981
52.6442,-8.61981
52.6442,-8.6198
52.64417,-8.6198
52.64417,-8.61981
52.64415,-8.61981
52.64412,-8.61984
52.64412,-8.61985
52.64411,-8.61985
52.64411,-8.61987
52.6441,-8.61987
52.6441,-8.6199
52.64409,-8.6199
52.64409,-8.61991
52.6439,-8.62012
52.64295,-8.62105
52.64218,-8.62152
52.64194,-8.62162
52.64168,-8.62171
52.64123,-8.62179
52.6412,-8.6218
52.64108,-8.62182
52.63908,-8.6223
52.63888,-8.62236
52.63839,-8.62256
52.63813,-8.62269
52.63791,-8.62282
52.63756,-8.62306
52.63736,-8.62322
52.63659,-8.62389
52.63624,-8.62423
52.63531,-8.62508
52.63491,-8.62549
