lat,lon
53.42764,-6.26065
53.4271,-6.26158
53.42707,-6.26162
53.42703,-6.26166
53.42699,-6.26169
53.42693,-6.26172
53.42682,-6.26175
53.42678,-6.26177
53.42675,-6.26179
53.42662,-6.26194
53.42656,-6.26203
53.42652,-6.26211
53.42646,-6.26226
53.42644,-6.26233
53.42643,-6.26239
53.42641,-6.26246
53.42639,-6.26262
53.42639,-6.2628
53.42635,-6.26302
53.42632,-6.26308
53.42612,-6.2636
53.42608,-6.26368
53.42421,-6.26687
53.42418,-6.26691
53.42415,-6.26694
53.42412,-6.26698
53.42409,-6.26701
53.42406,-6.26703
53.42397,-6.26711
53.42356,-6.26741
53.4235,-6.26743
53.42349,-6.26744
53.42343,-6.26744
53.42342,-6.26746
53.4234,-6.26748
53.4234,-6.26758
53.42342,-6.26778
53.42358,-6.27077
53.42371,-6.2726
53.42438,-6.28434
53.42443,-6.28491
53.42489,-6.2878
53.42493,-6.2883
53.42493,-6.28902
53.42491,-6.28958
53.42479,-6.29071
53.42477,-6.29104
53.42478,-6.29182
53.42501,-6.29598
53.42501,-6.29608
53.425,-6.29617
53.42498,-6.29627
53.42496,-6.29634
53.42493,-6.29641
53.42485,-6.29654
53.42481,-6.29658
53.42473,-6.29664
53.42447,-6.29669
53.42342,-6.29685
53.42338,-6.29685
53.42129,-6.29718
53.42124,-6.29718
53.42121,-6.29717
53.42118,-6.29715
53.42115,-6.29711
53.42113,-6.29707
53.42111,-6.29697
53.4208,-6.29148
53.4208,-6.29128
53.42079,-6.29112
53.42079,-6.29098
53.42069,-6.28887
53.42067,-6.28865
53.42063,-6.28721
53.42064,-6.28626
53.42057,-6.28506
53.42057,-6.28495
53.42052,-6.28431
53.42043,-6.2837
53.42037,-6.28305
53.42001,-6.27712
53.41996,-6.27464
53.41997,-6.27426
53.41996,-6.27415
53.41996,-6.2741
53.41987,-6.27338
53.4193,-6.26688
53.41925,-6.2661
53.41925,-6.26584
53.41929,-6.26541
53.41947,-6.26412
53.41949,-6.2639
53.41949,-6.26359
53.41909,-6.25607
53.41903,-6.25569
53.41899,-6.25551
53.41874,-6.25407
53.41862,-6.2532
53.41803,-6.24803
53.418,-6.24745
53.4178,-6.24046
53.41783,-6.24022
53.41788,-6.24003
53.41809,-6.2395
53.41771,-6.2394
53.41762,-6.23939
53.41762,-6.23931
53.41759,-6.23897
53.41762,-6.23861
53.41764,-6.23854
53.41765,-6.23846
53.41767,-6.23839
53.41777,-6.23812
53.41839,-6.23724
53.41852,-6.23703
53.41866,-6.23683
53.41901,-6.23626
53.41942,-6.23554
53.42025,-6.23399
53.42093,-6.23291
53.42141,-6.23226
53.42204,-6.23152
53.42293,-6.23061
53.42335,-6.23029
53.42364,-6.2301
53.42379,-6.23002
53.42385,-6.23
53.42388,-6.22998
53.42429,-6.22978
53.42458,-6.22968
53.42457,-6.22964
53.42467,-6.2296
53.42491,-6.22954
53.42511,-6.22951
53.42514,-6.22952
53.42531,-6.22952
53.42542,-6.22949
53.42566,-6.22945
53.42624,-6.22946
53.42654,-6.22951
53.42727,-6.22966
53.42789,-6.2297
53.42792,-6.22982
53.42794,-6.22986
53.42795,-6.22989
53.428,-6.22998
53.42804,-6.23004
53.42806,-6.23006
53.42809,-6.23008
53.42814,-6.23013
53.42823,-6.23017
53.42833,-6.23017
53.42839,-6.23015
53.4284,-6.23014
53.42842,-6.23011
53.42844,-6.23009
53.42846,-6.23006
53.42851,-6.22996
53.42852,-6.22992
53.42854,-6.22988
53.42855,-6.22982
53.42857,-6.22977
53.42857,-6.22972
53.42858,-6.22967
53.42858,-6.22946
53.42855,-6.22931
53.42853,-6.22926
53.42852,-6.22922
53.4285,-6.22917
53.42847,-6.22913
53.42844,-6.22907
53.42828,-6.22854
53.42826,-6.22844
53.42823,-6.22821
53.42796,-6.2228
53.42783,-6.2189
53.42786,-6.21846
53.42788,-6.21837
53.42811,-6.21796
53.42815,-6.21791
53.42821,-6.21782
53.42833,-6.21768
53.42875,-6.21733
53.42881,-6.21729
53.42979,-6.2165
53.43022,-6.21618
53.43043,-6.21601
53.43064,-6.21586
53.43065,-6.21582
53.43065,-6.21581
53.43066,-6.21581
53.43215,-6.21451
53.43229,-6.21428
53.43239,-6.2142
53.43333,-6.21334
53.43452,-6.21214
53.43456,-6.21209
53.43561,-6.21104
53.4363,-6.21041
53.43701,-6.20981
53.43786,-6.20916
53.43837,-6.20881
53.43865,-6.20864
53.43919,-6.20828
53.43996,-6.20781
53.44004,-6.20778
53.4405,-6.20754
53.44745,-6.20424
53.44758,-6.20417
53.44796,-6.20399
53.44896,-6.20358
53.44937,-6.20344
53.44988,-6.20329
53.45077,-6.20308
53.45162,-6.20296
53.45236,-6.2029
53.45329,-6.20291
53.45331,-6.20292
53.45382,-6.20295
53.45409,-6.20298
53.45498,-6.20313
53.45565,-6.20331
53.45695,-6.20371
53.45753,-6.20386
